date,Nifty 500
2024-05-30,21038.55
2024-05-29,21256.3
2024-05-28,21387.35
2024-05-27,21493.0
2024-05-24,21483.75
2024-05-23,21489.55
2024-05-22,21237.75
2024-05-21,21187.65
2024-05-18,21144.45
2024-05-17,21064.55
2024-05-16,20929.05
2024-05-15,20741.85
2024-05-14,20683.8
2024-05-13,20511.0
2024-05-10,20469.1
2024-05-09,20344.8
2024-05-08,20704.9
2024-05-07,20636.05
2024-05-06,20864.95
2024-05-03,20959.55
2024-05-02,21083.6
2024-04-30,20997.2
2024-04-29,20992.2
2024-04-26,20839.35
2024-04-25,20867.9
2024-04-24,20730.65
2024-04-23,20652.65
2024-04-22,20574.85
2024-04-19,20385.2
2024-04-18,20324.7
2024-04-16,20423.0
2024-04-15,20478.75
2024-04-12,20745.5
2024-04-10,20915.2
2024-04-09,20790.7
2024-04-08,20819.1
2024-04-05,20715.1
2024-04-04,20664.65
2024-04-03,20605.7
2024-04-02,20569.75
2024-04-01,20492.55
2024-03-28,20255.15
2024-03-27,20087.8
2024-03-26,20005.25
2024-03-22,19994.6
2024-03-21,19897.4
2024-03-20,19632.05
2024-03-19,19610.55
2024-03-18,19843.1
2024-03-15,19825.2
2024-03-14,19916.35
2024-03-13,19646.3
2024-03-12,20171.4
2024-03-11,20288.75
2024-03-07,20434.8
2024-03-06,20379.55
2024-03-05,20382.0
2024-03-04,20432.05
2024-03-02,20421.35
2024-03-01,20349.8
2024-02-29,20090.05
2024-02-28,20020.4
2024-02-27,20292.85
2024-02-26,20255.8
2024-02-23,20313.5
2024-02-22,20283.95
2024-02-21,20128.3
2024-02-20,20271.9
2024-02-19,20241.1
2024-02-16,20164.9
2024-02-15,20037.0
2024-02-14,19922.3
2024-02-13,19782.9
2024-02-12,19675.2
2024-02-09,19961.5
2024-02-08,19987.55
2024-02-07,20109.55
2024-02-06,20033.75
2024-02-05,19853.5
2024-02-02,19910.8
2024-02-01,19777.35
2024-01-31,19802.1
2024-01-30,19574.2
2024-01-29,19711.65
2024-01-25,19393.0
2024-01-24,19451.0
2024-01-23,19206.45
2024-01-20,19601.9
2024-01-19,19606.4
2024-01-18,19414.8
2024-01-17,19487.6
2024-01-16,19827.55
2024-01-15,19885.55
2024-01-12,19745.6
2024-01-11,19584.35
2024-01-10,19517.85
2024-01-09,19459.55
2024-01-08,19417.7
2024-01-05,19590.6
2024-01-04,19541.25
2024-01-03,19367.15
2024-01-02,19418.4
2024-01-01,19469.5
2023-12-29,19429.15
2023-12-28,19399.25
2023-12-27,19296.95
2023-12-26,19148.85
2023-12-22,19054.7
2023-12-21,18941.8
2023-12-20,18779.45
2023-12-19,19169.25
2023-12-18,19155.55
2023-12-15,19145.05
2023-12-14,18973.85
2023-12-13,18751.45
2023-12-12,18686.8
2023-12-11,18770.2
2023-12-08,18703.5
2023-12-07,18703.85
2023-12-06,18680.0
2023-12-05,18588.55
2023-12-04,18448.5
2023-12-01,18115.35
2023-11-30,17987.95
2023-11-29,17904.1
2023-11-28,17741.8
2023-11-24,17643.5
2023-11-23,17639.4
2023-11-22,17627.7
2023-11-21,17627.6
2023-11-20,17573.65
2023-11-17,17600.5
2023-11-16,17593.1
2023-11-15,17508.05
2023-11-13,17318.6
2023-11-12,17361.1
2023-11-10,17256.6
